time,open,high,low,close,tick_volume,spread,real_volume
1993-04-07 00:00:00,2.2517,2.2535,2.25,2.2517,701,150,0
1993-04-08 00:00:00,2.2579000000000002,2.2589,2.257,2.2579000000000002,381,150,0
1993-04-12 00:00:00,2.2647,2.2647,2.2647,2.2647,1,150,0
1993-04-13 00:00:00,2.2529,2.2529,2.2529,2.2529,1,150,0
1993-04-14 00:00:00,2.2621,2.2621,2.2621,2.2621,1,150,0
1993-04-15 00:00:00,2.263,2.2646,2.2615,2.263,621,150,0
1993-04-16 00:00:00,2.2552,2.2572,2.2532,2.2552,801,150,0
1993-04-19 00:00:00,2.2584,2.2605,2.2563,2.2584,841,150,0
1993-04-20 00:00:00,2.2587,2.2597,2.2577,2.2587,401,150,0
1993-04-21 00:00:00,2.252,2.2579000000000002,2.2461,2.252,2361,150,0
1993-04-22 00:00:00,2.252,2.2573,2.2468,2.252,2101,150,0
1993-04-23 00:00:00,2.2547,2.2564,2.253,2.2547,681,150,0
1993-04-26 00:00:00,2.2548,2.2549,2.2547,2.2548,41,150,0
1993-04-27 00:00:00,2.2577,2.2657,2.2498,2.2577,3181,150,0
1993-04-28 00:00:00,2.2543,2.2573,2.2513,2.2543,1201,150,0
1993-04-29 00:00:00,2.2509,2.2575,2.2443,2.2509,2641,150,0
1993-04-30 00:00:00,2.2486,2.2523,2.245,2.2486,1461,150,0
1993-05-03 00:00:00,2.2415,2.247,2.2361,2.2415,2181,150,0
1993-05-04 00:00:00,2.2251,2.2251,2.2251,2.2251,1,150,0
1993-05-05 00:00:00,2.2279,2.2358000000000002,2.22,2.2279,3161,150,0
1993-05-06 00:00:00,2.2243,2.2303,2.2183,2.2243,2401,150,0
1993-05-07 00:00:00,2.2389,2.2457,2.2322,2.2389,2701,150,0
1993-05-10 00:00:00,2.2358000000000002,2.2389,2.2327,2.2358000000000002,1241,150,0
1993-05-11 00:00:00,2.2365,2.2488,2.2242,2.2365,4921,150,0
1993-05-12 00:00:00,2.2449,2.2485,2.2414,2.2449,1421,150,0
1993-05-13 00:00:00,2.2367,2.2488,2.2247,2.2367,4821,150,0
1993-05-14 00:00:00,2.2326,2.2326,2.2326,2.2326,1,150,0
1993-05-17 00:00:00,2.2379,2.2509,2.225,2.2379,5181,150,0
1993-05-18 00:00:00,2.2524,2.2646,2.2402,2.2524,4881,150,0
1993-05-19 00:00:00,2.2646,2.2719,2.2574,2.2646,2901,150,0
1993-05-20 00:00:00,2.2720000000000002,2.2785,2.2656,2.2720000000000002,2581,150,0
1993-05-21 00:00:00,2.2754,2.2803,2.2706,2.2754,1941,150,0
1993-05-24 00:00:00,2.2696,2.2801,2.2592,2.2696,4181,150,0
1993-05-25 00:00:00,2.2552,2.2607,2.2498,2.2552,2181,150,0
1993-05-26 00:00:00,2.2604,2.2611,2.2597,2.2604,281,150,0
1993-05-27 00:00:00,2.2433,2.251,2.2356,2.2433,3081,150,0
1993-05-28 00:00:00,2.2278000000000002,2.2421,2.2136,2.2278000000000002,5701,150,0
1993-05-31 00:00:00,2.2245,2.2245,2.2245,2.2245,1,150,0
1993-06-01 00:00:00,2.2103,2.2103,2.2103,2.2103,1,150,0
1993-06-02 00:00:00,2.2081,2.2203,2.196,2.2081,4861,150,0
1993-06-03 00:00:00,2.2036,2.208,2.1993,2.2036,1741,150,0
1993-06-04 00:00:00,2.2033,2.2132,2.1935000000000002,2.2033,3941,150,0
1993-06-07 00:00:00,2.2103,2.216,2.2047,2.2103,2261,150,0
